Species,Family,Month,Function,D,Thickness..mm.
Acacia_megaladena,Fabaceae,march,nonspiny,5.724085366,1
Acacia_pennata,Fabaceae,may,spiny,0.508703481,1
Alangium_salviifolium,Cornaceae,may,spear,1.809322034,1
Alangium_salviifolium,Cornaceae,march,spear,1.778143275,1
Alangium_salviifolium,Cornaceae,may,spear,2.204241071,1
Alangium_salviifolium,Cornaceae,march,spear,1.111344538,1
Alangium_salviifolium,Cornaceae,may,spear,1.489214602,1
Artabotrys_hexapetalus,Annonaceae,may,spiny,1.624531835,1
Artabotrys_siamensis,Annonaceae,may,nonspiny,0.387147626,2
Bauhinia_variegata,Fabaceae,may,nonspiny,0.870192308,1
Bauhinia_variegata,Fabaceae,march,nonspiny,0.775049603,1
Bauhinia_variegata,Fabaceae,may,nonspiny,0.717329545,1
Bombax_ceiba,Malvaceae,march,harrow,0.453199052,3
Caesalpinia_coriaria,Fabaceae,may,nonspiny,0.590664117,2
Caesalpinia_coriaria,Fabaceae,march,nonspiny,0.762606534,1
Caesalpinia_cucullata,Fabaceae,may,spiny,0.698797376,1
Caesalpinia_minax,Fabaceae,march,spiny,5.440340909,1
Caesalpinia_minax,Fabaceae,may,spiny,5.050505051,1
Cassia_fistula,Fabaceae,may,nonspiny,0.166701948,2
Cassia_fistula,Fabaceae,may,nonspiny,0.128391473,1
Cassia_fistula,Fabaceae,march,nonspiny,0.198338468,2
Cassia_fistula,Fabaceae,may,nonspiny,0.479242287,2
Cassia_javanica,Fabaceae,may,spear,0.450559701,1
Cassia_javanica,Fabaceae,may,spear,0.399165708,1
Cassia_javanica,Fabaceae,march,spear,0.493923611,1
Cassia_javanica,Fabaceae,march,spear,0.433108108,1
Cassia_javanica,Fabaceae,may,spear,0.674899194,1
Catunaregam_spinosa,Rubiaceae,may,spiny,1.172188755,1
Catunaregam_spinosa,Rubiaceae,march,spiny,1.317991632,1
Catunaregam_spinosa,Rubiaceae,may,spiny,1.550538278,1
Catunaregam_spinosa,Rubiaceae,may,spiny,1.265625,1
Catunaregam_spinosa,Rubiaceae,march,spiny,2.480130058,1
Ceiba_pentandra,Malvaceae,may,harrow,0.484744094,2
Ceiba_pentandra,Malvaceae,march,harrow,0.743215461,3
Ceiba_pentandra,Malvaceae,may,harrow,0.464912281,3
Ceiba_pentandra,Malvaceae,may,harrow,3.251404494,3
Ceiba_speciosa,Malvaceae,march,harrow,0.772058824,4
Ceiba_speciosa,Malvaceae,may,harrow,0.547619048,4
Ceiba_speciosa,Malvaceae,march,harrow,1.170758929,5
Ceiba_speciosa,Malvaceae,may,harrow,3.06205036,5
Citrus_lucida,Rutaceae,may,spear,1.494869403,2
Citrus_lucida,Rutaceae,march,spear,3.782894737,1
Combretum_indicum,Combretaceae,may,spiny,0.324412325,1
Combretum_wallichii,Combretaceae,march,nonspiny,0.268656716,1
Cratoxylum_cochinchinense,Hypericaceae,may,spear,0.297649141,1
Croton_cascarilloides,Euphorbiaceae,may,nonspiny,3.249393204,2
Duperrea_pavettifolia,Rubiaceae,march,nonspiny,0.291497415,1
Elaeagnus_conferta,Elaeagnaceae,may,spiny,1.128778338,1
Elaeagnus_conferta,Elaeagnaceae,march,spiny,1.042134831,1
Elaeagnus_conferta,Elaeagnaceae,may,spiny,0.862881508,1
Elaeagnus_conferta,Elaeagnaceae,march,spiny,1.264341787,1
Elaeagnus_conferta,Elaeagnaceae,may,spiny,1.950044803,1
Elaeagnus_conferta,Elaeagnaceae,may,spiny,1.473426366,1
Fissistigma_maclurei,Annonaceae,march,nonspiny,0.666058394,1
Fissistigma_tientangense,Annonaceae,march,nonspiny,0.860969388,1
Flacourtia_indica,Salicaceae,may,spear,0.766799133,1
Flacourtia_indica,Salicaceae,march,spear,0.545700188,1
Flacourtia_rukam,Salicaceae,march,spear,0.442307692,1
Gardenia_tubifera,Rubiaceae,may,nonspiny,0.490506329,1
Getonia_floribunda,Combretaceae,march,nonspiny,0.175680052,1
Gleditsia_microphylla,Fabaceae,march,spear,0.298687845,1
Gleditsia_microphylla,Fabaceae,may,spear,0.689311594,1
Gmelina_asiatica,Lamiaceae,march,spiny,0.683170996,1
Gmelina_asiatica,Lamiaceae,may,spiny,1.095940421,1
Gmelina_philippensis,Lamiaceae,may,spiny,0.871074879,1
Gmelina_philippensis,Lamiaceae,march,spiny,1.121411483,1
Hura_crepitans,Euphorbiaceae,march,harrow,0.348271065,2
Hura_crepitans,Euphorbiaceae,may,harrow,1.370766932,2
Itoa_orientalis,Salicaceae,may,nonspiny,1.526570856,2
Ixora_cephalophora,Rubiaceae,march,nonspiny,0.520127119,1
Jatropha_multifida,Euphorbiaceae,march,nonspiny,0.768398268,1
Maclura_cochinchinensis,Moraceae,march,spiny,6.535326087,1
Maclura_cochinchinensis,Moraceae,may,spiny,1.115506329,1
Maytenus_austroyunnanensis,Celastraceae,may,spiny,0.497952794,1
Maytenus_austroyunnanensis,Celastraceae,march,spiny,0.519202544,1
Maytenus_hookeri,Celastraceae,march,spiny,0.481491416,1
Maytenus_hookeri,Celastraceae,may,spiny,0.507377506,1
Morinda_augustifolia,Rubiaceae,march,nonspiny,6.650641026,1
Pachira_aquatica,Malvaceae,may,nonspiny,2.873535156,3
Pachira_aquatica,Malvaceae,may,nonspiny,4.604668675,3
Pachira_aquatica,Malvaceae,march,nonspiny,1.854253112,2
Pachira_aquatica,Malvaceae,march,nonspiny,6.958626761,3
Pachira_quinata,Malvaceae,may,harrow,0.406824147,2
Pachira_quinata,Malvaceae,march,harrow,0.393102537,2
Paliurus_ramosissimus,Rhamnaceae,march,spiny,0.961402266,1
Quisqualis_caudata,Combretaceae,may,spiny,0.262789975,1
Quisqualis_caudata,Combretaceae,march,spiny,0.289661319,1
Quisqualis_caudata,Combretaceae,may,spiny,0.322492733,1
Quisqualis_caudata,Combretaceae,march,spiny,0.464295504,1
Rhamnella_wilsonii,Rhamnaceae,may,spiny,1.278561828,2
Sapium_glandulosum,Euphorbiaceae,may,spiny,0.623859489,1
Sapium_glandulosum,Euphorbiaceae,march,spiny,0.81547619,1
Sophora_velutina,Fabaceae,may,nonspiny,1.142888693,2
Sterculia_nobilis,Malvaceae,march,nonspiny,0.4265286,1
Streblus_asper,Moraceae,may,nonspiny,0.344730942,2
Streblus_asper,Moraceae,march,nonspiny,0.46788674,2
Streblus_asper,Moraceae,may,nonspiny,0.667067308,2
Terminalia_neotaliala,Combretaceae,march,nonspiny,2.738175676,1
Theobroma_cacao,Malvaceae,may,nonspiny,0.415206386,1
Theobroma_cacao,Malvaceae,march,nonspiny,0.62139977,1
Theobroma_cacao,Malvaceae,may,nonspiny,1.205752212,1
Vitex_glarata,Lamiaceae,march,nonspiny,0.413561848,1
Vitex_negundo,Lamiaceae,march,nonspiny,0.515148475,1
Zanthoxylum_armatum,Rutaceae,may,harrow,1.809983221,2
Zanthoxylum_armatum,Rutaceae,march,harrow,1.575229124,2