Plot,Fragment,longitude,latitude,forest.type,BA.ha,elev
T1,Mazuoxing,101.27015,21.9161,TRF,33.682,579
T2,Mazuoxing,101.2720667,21.91726667,TRF,54.224,637
T3,Mazuoxing,101.27365,21.91848333,TRF,57.242,541
T4,Liushilin,101.2826833,21.91108333,FOL,73.280,680
T5,Yinchang,101.2395833,21.91935,TRF,141.855,651
T6,Mazuoxing,101.2689333,21.88223333,TRF,56.618,582
T7,Yinchang,101.22825,21.9866,MOL,48.658,1310
T8,km55,101.1995667,21.96043333,TRF,37.723,891
T9,km55,101.2034833,21.96505,EBF,56.198,835
T10,km55,101.1624333,21.97315,EBF,70.175,1148
T11,km55,101.1618167,21.97453333,TRF,126.936,887
T12,km55,101.1633333,21.9715,EBF,95.855,1205
T13,Liushilin,101.2844833,21.91185,FOL,56.409,755
T14,Akezhai,101.3670833,21.8513,FOL,45.084,727
T15,Akezhai,101.37815,21.88303333,FOL,108.579,711
T16,Yinchang,101.2487333,21.8922,EBF,48.844,711
T17,Yinchang,101.2504,21.87611667,EBF,42.387,975
T18,Mazuoxing,101.253,21.87863333,EBF,54.933,916
T19,Mazuoxing,101.2548,21.88125,EBF,39.381,844
T20,km55,101.2128667,21.91361667,EBF,30.106,762
T21,km55,101.2133833,21.91648333,EBF,55.141,714
T22,km55,101.2060333,21.9254,TRF,70.371,663
T23,km55,101.2082833,21.92543333,EBF,51.735,733
T24,Mazuoxing,101.2762833,21.85793333,EBF,71.081,654
T25,Akezhai,101.3169667,21.81725,MOL,62.214,1114
T26,Liushilin,101.3022667,21.95433333,TRF,157.428,734
T27,Liushilin,101.2983167,21.94801667,TRF,119.032,692
T28,Liushilin,101.3015,21.9516,TRF,115.593,717
T29,Akezhai,101.3217667,21.93325,FOL,93.112,678
T30,Akezhai,101.3222667,21.93768333,MOL,65.630,802
T31,Akezhai,101.3262167,21.93415,TRF,98.421,619
T32,Liushilin,101.2936167,21.89543333,FOL,125.152,689
T33,Liushilin,101.2974167,21.8967,FOL,217.560,869
T34,Mazuoxing,101.2729,21.85741667,EBF,46.882,620
T35,Yinchang,101.2263333,21.9869,MOL,37.740,1477
T36,km55,101.1719333,21.98683333,EBF,26.850,1172
T37,Yinchang,101.2189667,21.98251667,MOL,47.961,994
T38,Yinchang,101.2155167,21.97776667,TRF,43.535,717
T40,Akezhai,101.3308833,21.86353333,EBF,35.287,849
T41,Akezhai,101.32675,21.8711,EBF,81.704,894
T42,Akezhai,101.3357,21.82873333,EBF,101.708,1189
T43,Liushilin,101.2929833,21.90965,FOL,58.858,677
T44,Liushilin,101.3154167,21.86465,MOL,26.741,858
T45,Liushilin,101.299,21.87663333,FOL,40.111,871
T46,Akezhai,101.31585,21.87618333,EBF,39.440,851
T48,Mazuoxing,101.2547833,21.955,TRF,67.516,733
T49,Mazuoxing,101.2579667,21.95296667,TRF,28.865,753
T50,Mazuoxing,101.257983,21.956783,EBF,70.128,770